Vehículo;Etiqueta;Matrícula;Tipo Vehículo;Tipo Servicio;Nivel Emisión ;Marca;Accesible;Operador;Modelo;Zona;Concesión;Calificación ;(Columna M agregada con propósitos meramente pedagógicos)
7733;E0733;WEX389;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;5,52;
7734;E0734;WEX390;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;6,80;
7735;E0735;WEX394;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;6,44;
7736;E0736;WEX373;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;6,42;
7737;E0737;WEX391;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;6,69;
7738;E0738;WGK145;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;5,46;
7739;E0739;WGK146;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;6,61;
7740;E0740;WGK147;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;5,86;
7741;E0741;WGK148;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;6,20;
7743;E0743;WGK150;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;6,14;
7744;E0744;WMK145;PADRON DUAL;PADRON;Euro V - Híbrido;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;5,98;
7745;E0745;WMK146;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;6,23;
7746;E0746;WMK147;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2014;Engativá;ENGATIVA T3;6,19;
7747;E0747;WMK148;PADRON DUAL;PADRON;Euro V – Eléctrico;VOLVO;CON ELEVADOR;GMOVIL ENGATIVA;2015;Engativá;ENGATIVA T3;6,60;
